policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
10,36110,1762,6929,10,3,LLM-WM vLLM beam mp5,task_20251203_091910_549_bca89e7d_de59e44a
10,14263,198,2491,10,3,LLM-WM vLLM beam mp5,task_20251203_104951_949_701c5774_5a606512
5,10257,346,3541,5,1,LLM-WM vLLM beam mp5,task_20251203_125054_648_be6c9105_0ec24467
10,22450,257,4157,10,3,LLM-WM vLLM beam mp5,task_20251203_184109_641_6f5b66fc_e62d330e
6,15721,794,4349,6,2,LLM-WM vLLM beam mp5,task_20251203_190727_704_e81f6083_f2fd8fe6
7,12539,522,2938,7,2,LLM-WM vLLM beam mp5,task_20251203_194320_796_df2c536d_c885488e
4,8672,374,3641,4,1,LLM-WM vLLM beam mp5,task_20251204_045548_265_4d9df647_18dae74a
18,138455,1861,13552,18,5,LLM-WM vLLM beam mp5,task_20251204_083406_171_e7cfb93b_89e0d558
8,21770,240,4832,8,2,LLM-WM vLLM beam mp5,task_20251204_092258_460_be6c9105_33990b9e
20,88111,2102,8932,20,5,LLM-WM vLLM beam mp5,task_20251204_115043_305_e81f6083_4acfd9ea
8,22884,872,5355,8,3,LLM-WM vLLM beam mp5,task_20251204_122816_238_13762b97_cd4a8a4f
6,14626,516,4929,6,2,LLM-WM vLLM beam mp5,task_20251204_125827_230_6f5b66fc_51e4bc12
15,34563,231,3902,15,5,LLM-WM vLLM beam mp5,task_20251204_132620_055_5c0cd3a2_048c6e95
6,8222,160,1925,6,2,LLM-WM vLLM beam mp5,task_20251204_145059_811_e5bf1251_3b195ec1
50,262819,2765,8929,50,12,LLM-WM vLLM beam mp5,task_20251204_160336_295_5c0cd3a2_26d1b04a
8,13861,153,2544,8,3,LLM-WM vLLM beam mp5,task_20251204_231522_245_e6427839_5d09c3c2
4,5696,467,2457,4,1,LLM-WM vLLM beam mp5,task_20251205_032409_945_0a0bf089_61f5be29
